nombreEquipo;nombreJugador%precioJugador%posicionJugador
AC Ajaccio;Bevic Selad Moussiti-Oko%1800000.0%defensa
Minnesota United FC;Justin Cameron McMaster%450000.0%arquero
Racing Club de Lens;Ignatius Kpene Ganago%6500000.0%medioCampista
US Salernitana 1919;Ramzi Aye%825000.0%delantero
FC Lokomotiv Moscow;Nayair Tiknizyan%1900000.0%defensa
Panathinaikos FC;Fotis Ioannidis%2700000.0%arquero
Seattle Sounders FC;Shandon Hopeau%275000.0%medioCampista
FC Luzern;Ibrahima Ndiaye%4200000.0%delantero
Brentford;Kristoffer Vassbakk Ajer%11500000.0%defensa
AC Milan;Olivier Giroud%8500000.0%arquero
SC Rheindorf Altach;Atdhe Nuhiu%725000.0%medioCampista
Parma;Elias Cobbaut%2600000.0%delantero
Tokushima Vortis;Kazuki Nishiya%900000.0%defensa
1. FC Kaiserslautern;Muhammed Enes Kiprit%1300000.0%arquero
SV Ried;Tin Plavotić%1200000.0%medioCampista
IK Sirius;Edi Sylisufaj%1100000.0%delantero
Venezia FC;Pasquale Mazzocchi%1400000.0%defensa
SK Rapid Wien;Kevin Wimmer%1200000.0%arquero
1. FC Kaiserslautern;Elias Huth%700000.0%medioCampista
Paris Saint-Germain;Leandro Daniel Paredes%28000000.0%delantero
Sydney FC;Adam Jeremy Pavlesic%275000.0%defensa
Coventry City;Jordan Shipley%1100000.0%arquero
Eintracht Frankfurt;Kevin Trapp%20500000.0%medioCampista
Brisbane Roar;Jesse Daley%450000.0%delantero
Getafe CF;Jonathan Cristian Silva%4400000.0%defensa
Houston Dynamo;Carlos Darwin Quintero Villalba%1900000.0%arquero
SK Rapid Wien;Kevin Wimmer%1200000.0%medioCampista
Legia Warszawa;Jakub Kisiel%350000.0%delantero
Longford Town;Callum Niall Thompson%240000.0%defensa
Molde FK;Birk Risa%2600000.0%arquero
Flamengo;Daniel Clayton Fachini Lobato%2800000.0%medioCampista
Sint-Truidense VV;Kenny Steppe%500000.0%delantero
Defensa y Justicia;Luis Ezequiel Unsain%5500000.0%defensa
Torino F.C.;Karol Linetty%5000000.0%arquero
SV Ried;Constantin Reiner%1600000.0%medioCampista
Al Ittihad;Abdulaziz Al Jebreen%400000.0%delantero
FC Girondins de Bordeaux;Davy Rouyard%700000.0%defensa
SC Paderborn 07;Jamilu Collins%1600000.0%arquero
AC Monza;Michele Di Gregorio%1700000.0%medioCampista
Kalmar FF;Jan Douglas Bergqvist%475000.0%delantero
Cardiff City;Aden Flint%1300000.0%defensa
Chennaiyin FC;Balaji Ganesan%110000.0%arquero
Perth Glory;Bradley Scott Jones%150000.0%medioCampista
1. FC Kaiserslautern;Maximilian Hippe%475000.0%delantero
Shrewsbury Town;George Damien Nurse%700000.0%defensa
SC East Bengal FC;Joyner Lourenco%90000.0%arquero
Holstein Kiel;Fin Bartels%2000000.0%medioCampista
Tokushima Vortis;Akihiro Sato%230000.0%delantero
Chicago Fire Football Club;Christopher Brady%220000.0%defensa
Al Fayha;Mohammed Kareem Al Baqawi%400000.0%arquero
Dundee United;Ian Andrew Harkes%875000.0%medioCampista
Toulouse Football Club;Nathan N'Goumou Minpole%725000.0%delantero
Sint-Truidense VV;Wim Vanmarsenille%325000.0%defensa
Chicago Fire Football Club;Jonathan Rey Bornstein%230000.0%arquero
Portimonense SC;Filipe Bem Relvas V. Oliveira%1300000.0%medioCampista
Benevento;Enrico Brignola%2700000.0%delantero
SC Bastia;Gary Coulibaly%110000.0%defensa
Legia Warszawa;Jakub Kisiel%350000.0%arquero
Cardiff City;Aden Flint%1300000.0%medioCampista
FC Nantes;Renaud Emond%1400000.0%delantero
1. FC Kaiserslautern;Muhammed Enes Kiprit%1300000.0%defensa
Brisbane Roar;Jesse Daley%450000.0%arquero
Sydney FC;Michael Zullo%700000.0%medioCampista
Royal Charleroi S.C.;Mamadou Fall%1600000.0%delantero
AJ Auxerre;Carlens Jean Fedlaire Ruby Arcus%2200000.0%defensa
SV Waldhof Mannheim 07;Stefano Russo%525000.0%arquero
Sparta Rotterdam;Lennart Thy%1600000.0%medioCampista
PFC CSKA Moscow;Igor Diveev%6500000.0%delantero
PFC CSKA Moscow;Vladislav Torop%275000.0%defensa
Granada CF;Carlos Arturo Bacca Ahumada%5000000.0%arquero
OGC Nice;Andy Delort%25500000.0%medioCampista
Austin FC;Daniel Pereira%500000.0%delantero
Yukatel Kayserispor;Nurettin Korkmaz%525000.0%defensa
Hajduk Split;Josip Vuković%1600000.0%arquero
Salford City;James Melhado%220000.0%medioCampista
Huddersfield Town;Levi Colwill%1700000.0%delantero
Al Faisaly;Ahmed Atallah Alanzy%210000.0%defensa
FC Lausanne-Sport;Mayron Antonio George Clayton%1400000.0%arquero
Al Nassr;Abdulrahman Ahmed Al-Obaid%775000.0%medioCampista
Tokushima Vortis;Hidenori Ishii%90000.0%delantero
Blackburn Rovers;Sam Gallagher%1800000.0%defensa
Stade de Reims;Predrag Rajković%16500000.0%arquero
Manchester United;Mason Greenwood%30500000.0%medioCampista
US Salernitana 1919;Ken Remi Stefan Strandberg%1500000.0%delantero
FC Dallas;Emmanuel Twumasi%325000.0%defensa
Yokohama F. Marinos;仲川 輝人%1600000.0%arquero
Panathinaikos FC;Ilias Chatzitheodoridis%1300000.0%medioCampista
SV Wehen Wiesbaden;Kevin Lankford%950000.0%delantero
Eintracht Frankfurt;Aymen Barkok%4800000.0%defensa
PFC CSKA Moscow;Vladislav Torop%275000.0%arquero
Rodez Aveyron Football;Amiran Sanaia%275000.0%medioCampista
FC Seoul;Seok-Yeong Cho%100000.0%delantero
Inter;Facundo Colidio%1900000.0%defensa
OGC Nice;Jean-Clair Dimitri Roger Todibo%15500000.0%arquero
WSG Tirol;Alexander Ranacher%525000.0%medioCampista
Eintracht Frankfurt;Martin Hinteregger%18000000.0%delantero
Gangwon FC;Ki Hwan Kim%230000.0%defensa
AC Milan;Alessandro Plizzari%1800000.0%arquero
Crawley Town;Davide Rodari%325000.0%medioCampista
Austin FC;Nick Lima%1600000.0%delantero
Inter Miami CF;Kieran Gibbs%1700000.0%defensa
Barrow;Oliver Ian Banks%400000.0%arquero
Al Fayha;Mohammed Kareem Al Baqawi%400000.0%medioCampista
SC Paderborn 07;Marcel Mehlem%950000.0%delantero
Bradford City;Abobaker Eisa%725000.0%defensa
Northampton Town;Scott Alexander Gladman Pollock%375000.0%arquero
Southampton;Nathan Tella%2100000.0%medioCampista
FC U Craiova 1948;Armin Gremsl%475000.0%delantero
FC Goa;Brandon Fernandes%375000.0%defensa
Seattle Sounders FC;Nicolas Benezet%1800000.0%arquero
Olympique Lyonnais;Rayan Mathis Cherki%7000000.0%medioCampista
PFC CSKA Moscow;Vladislav Torop%275000.0%delantero
KAS Eupen;Tom Roufosse%375000.0%defensa
Shonan Bellmare;Riuler de Oliveira Faustino%375000.0%arquero
KAA Gent;Matisse Samoise%1700000.0%medioCampista
Scunthorpe United;Devarn Rohan Green%450000.0%delantero
Paris Saint-Germain;Leandro Daniel Paredes%28000000.0%defensa
Burton Albion;Thomas Philip Hamer%1500000.0%arquero
SV Darmstadt 98;Klaus Gjasula%725000.0%medioCampista
Blackburn Rovers;Scott Wharton%1600000.0%delantero
Barcelona Sporting Club;Bryan Javier Caicedo Jurado%500000.0%defensa
Borussia Dortmund;Gregor Kobel%21500000.0%arquero
Molde FK;David Datro Fofana%1300000.0%medioCampista
SV Darmstadt 98;Steve Kroll%775000.0%delantero
Stevenage;Elliott Ricardo Wignal List%800000.0%defensa
Crystal Palace;Jeffrey Schlupp%5500000.0%arquero
Bristol City;Daniel Bentley%2800000.0%medioCampista
Los Angeles FC;Sebastien Uchechukwu Ibeagha%550000.0%delantero
US Salernitana 1919;Ramzi Aya%825000.0%defensa
Ajax;Zakaria Labyad%5500000.0%arquero
Toronto FC;Richie Mamah Laryea%2100000.0%medioCampista
Radomiak Radom;Dawid Abramowicz%425000.0%delantero